date,pH,electricalConductivity,organicMatter,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,zinc,iron,soilTexture,moistureContent,crop_type,yield_per_acre,image_paths
03/18/2025,7.4,1.80,3.6,50,20,40,2000,160,28,3.5,6.2,Sandy Loam,28.5,maize,2112,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/18/2025,5.7,1.10,4.1,45,11,38,1500,130,20,2.5,5.8,Loam,17.5,beans,1048,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/19/2025,6.7,1.35,3.3,68,16,45,1850,155,23,3.9,7.0,Sandy Loam,22.0,maize,2450,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/19/2025,6.2,1.05,2.7,30,12,30,1350,100,14,2.5,5.0,Loam,20.5,beans,900,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/19/2025,5.9,1.18,3.9,52,22,42,1650,140,20,3.5,6.5,Sandy Loam,18.0,maize,1895,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/19/2025,7.0,1.48,4.6,40,18,34,1780,150,26,4.0,5.3,Loam,26.5,beans,1190,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/20/2025,6.4,1.12,2.5,45,10,26,1500,110,18,3.2,7.0,Sandy Loam,21.0,maize,1750,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/20/2025,6.8,1.30,3.0,38,15,35,1600,125,22,3.8,4.8,Loam,24.0,beans,1080,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/20/2025,6.1,1.08,4.3,60,14,30,1700,135,19,4.5,6.0,Sandy Loam,16.5,maize,1700,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/20/2025,7.5,1.65,2.7,30,11,40,1800,145,25,3.0,5.5,Loam,28.0,beans,1150,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/21/2025,6.6,1.40,3.5,75,18,48,2200,165,29,4.2,6.5,Sandy Loam,23.5,maize,2650,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/21/2025,5.9,1.10,3.2,35,10,28,1400,105,16,2.6,5.2,Loam,19.0,beans,900,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/21/2025,7.0,1.55,4.0,55,25,35,2050,150,27,3.5,7.8,Sandy Loam,25.0,maize,2050,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/21/2025,6.2,1.25,2.5,32,14,33,1550,115,18,3.0,5.5,Loam,22.5,beans,955,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/22/2025,6.8,1.35,3.8,70,15,40,2000,160,25,4.0,5.8,Sandy Loam,20.0,maize,2400,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/22/2025,5.5,0.95,2.9,30,8,22,1300,95,14,2.5,6.0,Loam,17.0,beans,800,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/22/2025,6.3,1.20,3.1,50,20,45,1850,140,22,3.8,7.5,Sandy Loam,25.5,maize,1990,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/22/2025,7.0,1.50,4.6,40,16,30,1750,130,20,3.5,4.5,Loam,23.0,beans,1120,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/23/2025,5.7,1.15,2.8,40,12,35,1650,120,19,3.0,6.2,Sandy Loam,19.5,maize,1550,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/23/2025,6.5,1.40,3.3,35,18,40,1700,135,22,3.5,5.0,Loam,25.0,beans,1100,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/23/2025,7.2,1.60,4.1,65,22,50,2300,180,30,4.5,7.0,Sandy Loam,21.5,maize,2500,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/23/2025,6.0,1.00,2.6,30,10,25,1450,105,15,2.8,5.8,Loam,18.0,beans,880,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/24/2025,6.6,1.45,4.5,78,20,50,2400,170,28,4.5,6.0,Sandy Loam,26.0,maize,2800,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/24/2025,5.8,1.05,3.0,32,15,28,1500,110,16,3.0,5.5,Loam,19.0,beans,925,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/24/2025,6.1,1.25,3.6,55,14,35,1750,130,22,3.5,6.8,Sandy Loam,22.0,maize,1900,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/24/2025,7.3,1.60,4.8,42,20,42,1900,150,28,4.0,4.9,Loam,27.5,beans,1280,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/25/2025,6.9,1.55,3.9,70,17,45,2100,160,25,4.2,6.5,Sandy Loam,24.0,maize,2550,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/25/2025,6.0,1.15,3.5,38,12,30,1600,120,18,3.2,5.6,Loam,20.0,beans,980,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/25/2025,6.5,1.25,2.7,50,10,25,1500,110,15,2.8,7.2,Sandy Loam,17.0,maize,1850,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/25/2025,7.1,1.40,4.0,32,16,36,1750,135,22,3.5,4.5,Loam,26.5,beans,1150,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/26/2025,6.2,1.20,3.3,60,25,48,1900,150,28,4.0,6.0,Sandy Loam,21.0,maize,2100,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/26/2025,6.8,1.35,2.9,30,10,26,1450,100,15,2.5,5.8,Loam,23.5,beans,950,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/26/2025,7.0,1.50,4.5,75,18,50,2200,170,30,4.8,5.0,Sandy Loam,25.0,maize,2750,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/26/2025,5.9,1.05,3.1,35,12,30,1550,115,18,3.0,6.5,Loam,18.5,beans,930,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/27/2025,6.5,1.30,3.6,65,14,38,1800,140,22,3.5,7.0,Sandy Loam,22.0,maize,2150,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
03/27/2025,7.0,1.55,4.2,40,20,45,1950,160,28,4.0,5.0,Loam,25.5,beans,1200,"['data/images/beans_25_03_16_01.jpg','data/images/beans_25_03_16_02.jpg','data/images/beans_25_03_16_03.jpg','data/images/beans_25_03_16_04.jpg','data/images/beans_25_03_16_05.jpg','data/images/beans_25_03_16_06.jpg','data/images/beans_25_03_16_07.jpg','data/images/beans_25_03_16_08.jpg','data/images/beans_25_03_16_09.jpg']"
03/27/2025,5.8,1.00,2.5,45,10,25,1450,100,15,2.8,7.5,Sandy Loam,17.5,maize,1600,"['data/images/maize_25_03_15_01.png','data/images/maize_25_03_15_02.png','data/images/maize_25_03_15_03.png','data/images/maize_25_03_15_04.png','data/images/maize_25_03_15_05.png','data/images/maize_25_03_15_06.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_07.png','data/images/maize_25_03_15_08.png','data/images/maize_25_03_15_09.png','data/images/maize_25_03_15_10.png','data/images/maize_25_03_15_11.png','data/images/maize_25_03_15_12.png','data/images/maize_25_03_15_13.png','data/images/maize_25_03_15_14.png','data/images/maize_25_03_15_15.png','data/images/maize_25_03_15_16.png']"
